genre,genre_achievements_mean
"Action,Casual,Free to Play,Simulation,Early Access",NA
"Action,Casual,Free to Play,Strategy",21
"Action,Casual,Indie",117.79737335834896
"Action,Casual,Indie,Adventure",NA
"Action,Casual,Indie,Early Access",26.681818181818183
"Action,Casual,Indie,Massively Multiplayer",11
"Action,Casual,Indie,Massively Multiplayer,Early Access",NA
"Action,Casual,Indie,Massively Multiplayer,Racing",NA
"Action,Casual,Indie,Massively Multiplayer,RPG",NA
"Action,Casual,Indie,Massively Multiplayer,RPG,Early Access",1
"Action,Casual,Indie,Massively Multiplayer,RPG,Simulation,Early Access",NA
"Action,Casual,Indie,Massively Multiplayer,RPG,Simulation,Sports",NA
"Action,Casual,Indie,Massively Multiplayer,Simulation",6
"Action,Casual,Indie,Massively Multiplayer,Simulation,Early Access",22
"Action,Casual,Indie,Massively Multiplayer,Simulation,RPG,Strategy",NA
"Action,Casual,Indie,Massively Multiplayer,Simulation,Sports",88
"Action,Casual,Indie,Massively Multiplayer,Simulation,Sports,Strategy",NA
"Action,Casual,Indie,Massively Multiplayer,Simulation,Strategy",19
"Action,Casual,Indie,Massively Multiplayer,Sports,Strategy",54
"Action,Casual,Indie,Massively Multiplayer,Strategy",46
"Action,Casual,Indie,Massively Multiplayer,Strategy,Early Access",43
"Action,Casual,Indie,Racing",240.69565217391303
"Action,Casual,Indie,Racing,Early Access",5
"Action,Casual,Indie,Racing,RPG,Simulation,Sports,Early Access",NA
"Action,Casual,Indie,Racing,RPG,Simulation,Strategy,Early Access",NA
"Action,Casual,Indie,Racing,Simulation",41.166666666666664
"Action,Casual,Indie,Racing,Simulation,Early Access",8
"Action,Casual,Indie,Racing,Simulation,Sports",27.333333333333332
"Action,Casual,Indie,Racing,Simulation,Sports,Early Access",NA
"Action,Casual,Indie,Racing,Simulation,Sports,Strategy",NA
"Action,Casual,Indie,Racing,Simulation,Strategy",18
"Action,Casual,Indie,Racing,Sports",22.9
"Action,Casual,Indie,Racing,Sports,Early Access",NA
"Action,Casual,Indie,Racing,Sports,Simulation",NA
"Action,Casual,Indie,Racing,Sports,Simulation,Strategy",NA
"Action,Casual,Indie,Racing,Sports,Strategy",18
"Action,Casual,Indie,Racing,Sports,Strategy,Early Access",7
"Action,Casual,Indie,Racing,Strategy",12
"Action,Casual,Indie,Racing,Strategy,Early Access",NA
"Action,Casual,Indie,RPG",25.3
"Action,Casual,Indie,RPG,Early Access",33.5
"Action,Casual,Indie,RPG,Early Access,Strategy,Adventure",NA
"Action,Casual,Indie,RPG,Simulation",36
"Action,Casual,Indie,RPG,Simulation,Sports,Strategy",9
"Action,Casual,Indie,RPG,Simulation,Strategy",72.33333333333333
"Action,Casual,Indie,RPG,Simulation,Strategy,Early Access",23
"Action,Casual,Indie,RPG,Sports",6
"Action,Casual,Indie,RPG,Sports,Strategy,Early Access",NA
"Action,Casual,Indie,RPG,Strategy",8.5
"Action,Casual,Indie,RPG,Strategy,Adventure",NA
"Action,Casual,Indie,RPG,Strategy,Early Access",32
"Action,Casual,Indie,Simulation",477.4166666666667
"Action,Casual,Indie,Simulation,Adventure,Sports,Early Access",NA
"Action,Casual,Indie,Simulation,Early Access",19.333333333333332
"Action,Casual,Indie,Simulation,Racing",NA
"Action,Casual,Indie,Simulation,Sexual Content,Violent,Early Access",NA
"Action,Casual,Indie,Simulation,Sports",16.7
"Action,Casual,Indie,Simulation,Sports,Adventure,Racing,Violent,Strategy,Early Access",NA
"Action,Casual,Indie,Simulation,Sports,Early Access",17
"Action,Casual,Indie,Simulation,Sports,Strategy",35
"Action,Casual,Indie,Simulation,Sports,Strategy,Early Access",NA
"Action,Casual,Indie,Simulation,Sports,Violent,Gore,Adventure",NA
"Action,Casual,Indie,Simulation,Strategy",1442.5714285714287
"Action,Casual,Indie,Simulation,Strategy,Early Access",14.5
"Action,Casual,Indie,Sports",24.517241379310345
"Action,Casual,Indie,Sports,Adventure,Simulation",NA
"Action,Casual,Indie,Sports,Early Access",31.375
"Action,Casual,Indie,Sports,Strategy",30
"Action,Casual,Indie,Sports,Strategy,Early Access",NA
